user_id,touchpoint_id,touchpoint_time,channel,campaign,device_type,country,touchpoint_position,total_touchpoints,converted,conversion_id,revenue_gbp,media_cost_gbp
USER-100003,TP-3-2,2025-03-16 10:00:00,Email,newsletter,Mobile,United States,2,2,0,,0.0,0.03
USER-100004,TP-4-1,2025-01-23 15:00:00,Organic Search,seo_blog,Mobile,United Kingdom,1,2,0,,0.0,0.15
USER-100004,TP-4-2,2025-02-10 20:00:00,Organic Search,seo_category,Mobile,United Kingdom,2,2,0,,0.0,0.1
USER-100005,TP-5-1,2025-03-20 20:00:00,Paid Social,prospecting_social,Desktop,United States,1,1,0,,0.0,0.83
USER-100006,TP-6-1,2025-02-23 14:00:00,Organic Search,seo_blog,Mobile,Germany,1,3,0,,0.0,0.12
USER-100006,TP-6-2,2025-02-28 18:00:00,Paid Search,shopping_ads,Mobile,Germany,2,3,0,,0.0,1.48
USER-100006,TP-6-3,2025-03-01 15:00:00,Direct,direct_none,Mobile,Germany,3,3,0,,0.0,0.03
USER-100007,TP-7-1,2025-01-12 14:00:00,Display,display_retargeting,Desktop,India,1,4,1,ORD-200007,23.41,0.59
USER-100007,TP-7-2,2025-01-13 09:00:00,Referral,community_referral,Desktop,India,2,4,1,ORD-200007,23.41,0.1
USER-100007,TP-7-3,2025-01-14 16:00:00,Referral,partner_referral,Desktop,India,3,4,1,ORD-200007,23.41,0.09
USER-100007,TP-7-4,2025-01-14 12:00:00,Paid Social,lookalike_social,Desktop,India,4,4,1,ORD-200007,23.41,0.88
USER-100008,TP-8-1,2025-02-11 07:00:00,Paid Search,nonbrand_search,Desktop,United Kingdom,1,2,0,,0.0,1.39
USER-100008,TP-8-2,2025-02-15 11:00:00,Organic Search,seo_blog,Desktop,United Kingdom,2,2,0,,0.0,0.15
USER-100009,TP-9-1,2025-01-22 19:00:00,Referral,blog_referral,Tablet,India,1,6,0,,0.0,0.11
USER-100009,TP-9-2,2025-01-22 18:00:00,Organic Search,seo_product,Tablet,India,2,6,0,,0.0,0.14
USER-100009,TP-9-3,2025-01-27 16:00:00,Paid Social,retargeting_social,Tablet,India,3,6,0,,0.0,1.0
USER-100009,TP-9-4,2025-01-28 17:00:00,Organic Search,seo_product,Tablet,India,4,6,0,,0.0,0.15
USER-100009,TP-9-5,2025-02-01 12:00:00,Paid Search,nonbrand_search,Tablet,India,5,6,0,,0.0,1.36
USER-100009,TP-9-6,2025-02-04 18:00:00,Paid Search,nonbrand_search,Tablet,India,6,6,0,,0.0,1.8
USER-100010,TP-10-1,2025-02-03 20:00:00,Paid Search,shopping_ads,Desktop,Canada,1,2,0,,0.0,1.63
USER-100010,TP-10-2,2025-02-06 18:00:00,Affiliate,content_partner,Desktop,Canada,2,2,0,,0.0,1.33
USER-100011,TP-11-1,2025-01-23 18:00:00,Paid Search,brand_search,Mobile,United States,1,6,1,ORD-200011,136.12,1.36
USER-100011,TP-11-2,2025-01-23 09:00:00,Paid Search,brand_search,Mobile,United States,2,6,1,ORD-200011,136.12,1.17
USER-100011,TP-11-3,2025-01-28 07:00:00,Referral,blog_referral,Mobile,United States,3,6,1,ORD-200011,136.12,0.07
USER-100011,TP-11-4,2025-02-01 10:00:00,Email,newsletter,Mobile,United States,4,6,1,ORD-200011,136.12,0.03
USER-100011,TP-11-5,2025-02-06 22:00:00,Direct,direct_none,Mobile,United States,5,6,1,ORD-200011,136.12,0.02
USER-100011,TP-11-6,2025-02-07 14:00:00,Organic Search,seo_blog,Mobile,United States,6,6,1,ORD-200011,136.12,0.13
USER-100012,TP-12-1,2025-02-03 19:00:00,Paid Search,brand_search,Desktop,Canada,1,1,0,,0.0,1.1
USER-100013,TP-13-1,2025-02-21 19:00:00,Paid Social,retargeting_social,Mobile,United Kingdom,1,2,0,,0.0,1.27
USER-100013,TP-13-2,2025-02-21 07:00:00,Direct,direct_none,Mobile,United Kingdom,2,2,0,,0.0,0.02
USER-100014,TP-14-1,2025-02-26 07:00:00,Paid Social,lookalike_social,Mobile,United Kingdom,1,1,0,,0.0,0.72
USER-100015,TP-15-1,2025-01-28 15:00:00,Organic Search,seo_category,Desktop,India,1,7,0,,0.0,0.11
USER-100015,TP-15-2,2025-01-30 14:00:00,Direct,direct_none,Desktop,India,2,7,0,,0.0,0.02
USER-100015,TP-15-3,2025-02-02 18:00:00,Referral,blog_referral,Desktop,India,3,7,0,,0.0,0.09
USER-100015,TP-15-4,2025-02-03 09:00:00,Organic Search,seo_blog,Desktop,India,4,7,0,,0.0,0.15
USER-100015,TP-15-5,2025-02-05 14:00:00,Direct,direct_none,Desktop,India,5,7,0,,0.0,0.02
USER-100015,TP-15-6,2025-02-06 07:00:00,Organic Search,seo_category,Desktop,India,6,7,0,,0.0,0.15
USER-100015,TP-15-7,2025-02-06 18:00:00,Referral,blog_referral,Desktop,India,7,7,0,,0.0,0.07
USER-100016,TP-16-1,2025-02-22 08:00:00,Direct,direct_none,Tablet,United Kingdom,1,1,0,,0.0,0.02
USER-100017,TP-17-1,2025-03-14 22:00:00,Organic Search,seo_category,Mobile,United Kingdom,1,1,0,,0.0,0.1
USER-100018,TP-18-1,2025-01-31 13:00:00,Paid Search,shopping_ads,Mobile,United States,1,1,0,,0.0,1.37
USER-100019,TP-19-1,2025-02-24 10:00:00,Organic Search,seo_product,Mobile,United Kingdom,1,3,0,,0.0,0.12
USER-100019,TP-19-2,2025-03-03 13:00:00,Organic Search,seo_product,Mobile,United Kingdom,2,3,0,,0.0,0.1
USER-100019,TP-19-3,2025-03-08 11:00:00,Email,newsletter,Mobile,United Kingdom,3,3,0,,0.0,0.05
USER-100020,TP-20-1,2025-02-23 18:00:00,Referral,blog_referral,Mobile,United Kingdom,1,1,0,,0.0,0.11
USER-100021,TP-21-1,2025-02-09 15:00:00,Display,display_prospecting,Mobile,United Kingdom,1,3,0,,0.0,0.72
USER-100021,TP-21-2,2025-02-10 16:00:00,Affiliate,cashback_partner,Mobile,United Kingdom,2,3,0,,0.0,1.14
USER-100021,TP-21-3,2025-02-16 07:00:00,Direct,direct_none,Mobile,United Kingdom,3,3,0,,0.0,0.03
USER-100022,TP-22-1,2025-01-12 10:00:00,Email,newsletter,Mobile,Germany,1,3,0,,0.0,0.05
USER-100022,TP-22-2,2025-01-16 11:00:00,Direct,direct_none,Mobile,Germany,2,3,0,,0.0,0.02
USER-100022,TP-22-3,2025-01-22 10:00:00,Paid Search,nonbrand_search,Mobile,Germany,3,3,0,,0.0,1.35
USER-100023,TP-23-1,2025-01-26 10:00:00,Direct,direct_none,Mobile,India,1,1,0,,0.0,0.02
USER-100024,TP-24-1,2025-02-08 21:00:00,Paid Search,nonbrand_search,Desktop,India,1,5,0,,0.0,1.53
USER-100024,TP-24-2,2025-02-10 10:00:00,Paid Search,nonbrand_search,Desktop,India,2,5,0,,0.0,1.78
USER-100024,TP-24-3,2025-02-12 21:00:00,Paid Search,shopping_ads,Desktop,India,3,5,0,,0.0,1.66
USER-100024,TP-24-4,2025-02-16 13:00:00,Email,loyalty_email,Desktop,India,4,5,0,,0.0,0.05
USER-100024,TP-24-5,2025-02-16 22:00:00,Affiliate,content_partner,Desktop,India,5,5,0,,0.0,0.93
USER-100025,TP-25-1,2025-03-12 17:00:00,Direct,direct_none,Mobile,United Kingdom,1,6,0,,0.0,0.02
USER-100025,TP-25-2,2025-03-14 13:00:00,Paid Search,nonbrand_search,Mobile,United Kingdom,2,6,0,,0.0,1.19
USER-100025,TP-25-3,2025-03-15 16:00:00,Affiliate,cashback_partner,Mobile,United Kingdom,3,6,0,,0.0,1.4
USER-100025,TP-25-4,2025-03-16 20:00:00,Paid Social,prospecting_social,Mobile,United Kingdom,4,6,0,,0.0,1.21
USER-100025,TP-25-5,2025-03-17 22:00:00,Paid Social,lookalike_social,Mobile,United Kingdom,5,6,0,,0.0,1.22
USER-100025,TP-25-6,2025-03-17 11:00:00,Direct,direct_none,Mobile,United Kingdom,6,6,0,,0.0,0.02
USER-100026,TP-26-1,2025-02-20 15:00:00,Organic Search,seo_category,Mobile,United Kingdom,1,1,0,,0.0,0.11
USER-100027,TP-27-1,2025-01-27 22:00:00,Referral,partner_referral,Mobile,France,1,2,0,,0.0,0.06
USER-100027,TP-27-2,2025-02-14 09:00:00,Organic Search,seo_product,Mobile,France,2,2,0,,0.0,0.09
USER-100028,TP-28-1,2025-02-06 15:00:00,Display,display_retargeting,Desktop,Germany,1,1,0,,0.0,0.54
USER-100029,TP-29-1,2025-03-21 18:00:00,Affiliate,cashback_partner,Mobile,United States,1,1,0,,0.0,0.92
USER-100030,TP-30-1,2025-02-02 12:00:00,Organic Search,seo_product,Desktop,United Kingdom,1,2,0,,0.0,0.13
USER-100030,TP-30-2,2025-02-18 11:00:00,Display,display_prospecting,Desktop,United Kingdom,2,2,0,,0.0,0.7
USER-100031,TP-31-1,2025-02-27 19:00:00,Paid Search,nonbrand_search,Desktop,India,1,3,0,,0.0,1.19
USER-100031,TP-31-2,2025-02-28 22:00:00,Direct,direct_none,Desktop,India,2,3,0,,0.0,0.02
USER-100031,TP-31-3,2025-03-02 21:00:00,Display,display_retargeting,Desktop,India,3,3,0,,0.0,0.59
USER-100032,TP-32-1,2025-02-17 22:00:00,Paid Social,retargeting_social,Mobile,France,1,2,0,,0.0,0.84
USER-100032,TP-32-2,2025-03-04 22:00:00,Paid Social,prospecting_social,Mobile,France,2,2,0,,0.0,1.05
USER-100033,TP-33-1,2025-02-19 07:00:00,Direct,direct_none,Mobile,United Kingdom,1,1,0,,0.0,0.02
USER-100034,TP-34-1,2025-01-28 20:00:00,Display,display_prospecting,Mobile,Germany,1,4,0,,0.0,0.48
USER-100034,TP-34-2,2025-01-30 14:00:00,Paid Social,prospecting_social,Mobile,Germany,2,4,0,,0.0,1.04
USER-100034,TP-34-3,2025-01-31 19:00:00,Organic Search,seo_category,Mobile,Germany,3,4,0,,0.0,0.16
USER-100034,TP-34-4,2025-02-04 22:00:00,Email,loyalty_email,Mobile,Germany,4,4,0,,0.0,0.05
USER-100035,TP-35-1,2025-02-27 16:00:00,Organic Search,seo_product,Desktop,United States,1,2,0,,0.0,0.13
USER-100035,TP-35-2,2025-03-10 08:00:00,Paid Search,shopping_ads,Desktop,United States,2,2,0,,0.0,1.54
USER-100036,TP-36-1,2025-02-13 14:00:00,Display,display_retargeting,Tablet,United States,1,6,0,,0.0,0.52
USER-100036,TP-36-2,2025-02-14 11:00:00,Paid Search,brand_search,Tablet,United States,2,6,0,,0.0,1.49
USER-100036,TP-36-3,2025-02-15 19:00:00,Paid Social,lookalike_social,Tablet,United States,3,6,0,,0.0,1.21
USER-100036,TP-36-4,2025-02-18 18:00:00,Direct,direct_none,Tablet,United States,4,6,0,,0.0,0.02
USER-100036,TP-36-5,2025-02-23 14:00:00,Direct,direct_none,Tablet,United States,5,6,0,,0.0,0.02
USER-100036,TP-36-6,2025-02-25 14:00:00,Direct,direct_none,Tablet,United States,6,6,0,,0.0,0.03
USER-100037,TP-37-1,2025-02-26 17:00:00,Paid Search,brand_search,Mobile,United Kingdom,1,2,0,,0.0,1.15
USER-100037,TP-37-2,2025-03-12 08:00:00,Paid Search,brand_search,Mobile,United Kingdom,2,2,0,,0.0,1.51
USER-100038,TP-38-1,2025-01-14 17:00:00,Direct,direct_none,Mobile,United Kingdom,1,2,0,,0.0,0.02
USER-100038,TP-38-2,2025-01-19 16:00:00,Organic Search,seo_product,Mobile,United Kingdom,2,2,0,,0.0,0.13
USER-100039,TP-39-1,2025-01-10 08:00:00,Email,loyalty_email,Desktop,United Kingdom,1,5,0,,0.0,0.04
USER-100039,TP-39-2,2025-01-12 19:00:00,Organic Search,seo_blog,Desktop,United Kingdom,2,5,0,,0.0,0.14
USER-100039,TP-39-3,2025-01-13 18:00:00,Direct,direct_none,Desktop,United Kingdom,3,5,0,,0.0,0.02
USER-100039,TP-39-4,2025-01-14 16:00:00,Display,display_prospecting,Desktop,United Kingdom,4,5,0,,0.0,0.52
USER-100039,TP-39-5,2025-01-15 07:00:00,Organic Search,seo_product,Desktop,United Kingdom,5,5,0,,0.0,0.15
USER-100040,TP-40-1,2025-03-02 10:00:00,Paid Search,brand_search,Desktop,United Kingdom,1,6,0,,0.0,1.95
USER-100040,TP-40-2,2025-03-10 08:00:00,Paid Search,nonbrand_search,Desktop,United Kingdom,2,6,0,,0.0,1.55
USER-100040,TP-40-3,2025-03-15 08:00:00,Direct,direct_none,Desktop,United Kingdom,3,6,0,,0.0,0.02
USER-100040,TP-40-4,2025-03-17 18:00:00,Email,basket_recovery,Desktop,United Kingdom,4,6,0,,0.0,0.05
USER-100040,TP-40-5,2025-03-17 14:00:00,Organic Search,seo_blog,Desktop,United Kingdom,5,6,0,,0.0,0.13
USER-100040,TP-40-6,2025-03-18 18:00:00,Paid Search,shopping_ads,Desktop,United Kingdom,6,6,0,,0.0,1.18
USER-100041,TP-41-1,2025-03-15 10:00:00,Paid Social,prospecting_social,Desktop,India,1,7,0,,0.0,1.03
USER-100041,TP-41-2,2025-03-16 13:00:00,Paid Social,prospecting_social,Desktop,India,2,7,0,,0.0,0.85
USER-100041,TP-41-3,2025-03-17 16:00:00,Organic Search,seo_blog,Desktop,India,3,7,0,,0.0,0.12
USER-100041,TP-41-4,2025-03-17 10:00:00,Direct,direct_none,Desktop,India,4,7,0,,0.0,0.02
USER-100041,TP-41-5,2025-03-24 12:00:00,Direct,direct_none,Desktop,India,5,7,0,,0.0,0.02
USER-100041,TP-41-6,2025-03-26 12:00:00,Email,loyalty_email,Desktop,India,6,7,0,,0.0,0.05
USER-100041,TP-41-7,2025-03-26 07:00:00,Paid Search,nonbrand_search,Desktop,India,7,7,0,,0.0,1.55
USER-100042,TP-42-1,2025-01-19 11:00:00,Email,newsletter,Desktop,India,1,2,0,,0.0,0.05
USER-100042,TP-42-2,2025-01-22 18:00:00,Email,loyalty_email,Desktop,India,2,2,0,,0.0,0.03
USER-100043,TP-43-1,2025-01-28 07:00:00,Paid Social,retargeting_social,Mobile,United States,1,3,0,,0.0,1.22
USER-100043,TP-43-2,2025-01-30 14:00:00,Affiliate,cashback_partner,Mobile,United States,2,3,0,,0.0,0.92
USER-100043,TP-43-3,2025-02-06 11:00:00,Direct,direct_none,Mobile,United States,3,3,0,,0.0,0.02
USER-100044,TP-44-1,2025-02-17 21:00:00,Organic Search,seo_blog,Mobile,Australia,1,6,0,,0.0,0.11
USER-100044,TP-44-2,2025-02-18 08:00:00,Paid Social,lookalike_social,Mobile,Australia,2,6,0,,0.0,1.23
USER-100044,TP-44-3,2025-02-24 11:00:00,Organic Search,seo_product,Mobile,Australia,3,6,0,,0.0,0.13
USER-100044,TP-44-4,2025-03-06 17:00:00,Paid Search,brand_search,Mobile,Australia,4,6,0,,0.0,1.26
USER-100044,TP-44-5,2025-03-07 07:00:00,Direct,direct_none,Mobile,Australia,5,6,0,,0.0,0.02
USER-100044,TP-44-6,2025-03-07 09:00:00,Paid Search,nonbrand_search,Mobile,Australia,6,6,0,,0.0,1.64
USER-100045,TP-45-1,2025-01-04 08:00:00,Paid Social,lookalike_social,Desktop,United Kingdom,1,3,0,,0.0,0.94
USER-100045,TP-45-2,2025-01-06 18:00:00,Paid Social,retargeting_social,Desktop,United Kingdom,2,3,0,,0.0,0.91
USER-100045,TP-45-3,2025-01-19 19:00:00,Display,display_prospecting,Desktop,United Kingdom,3,3,0,,0.0,0.7
USER-100046,TP-46-1,2025-03-09 12:00:00,Display,display_prospecting,Mobile,United States,1,3,0,,0.0,0.67
USER-100046,TP-46-2,2025-03-09 22:00:00,Paid Search,shopping_ads,Mobile,United States,2,3,0,,0.0,1.87
USER-100046,TP-46-3,2025-03-15 13:00:00,Direct,direct_none,Mobile,United States,3,3,0,,0.0,0.02
USER-100047,TP-47-1,2025-01-16 19:00:00,Paid Search,shopping_ads,Desktop,United States,1,5,0,,0.0,1.35
USER-100047,TP-47-2,2025-01-16 18:00:00,Organic Search,seo_category,Desktop,United States,2,5,0,,0.0,0.12
USER-100047,TP-47-3,2025-01-20 14:00:00,Referral,partner_referral,Desktop,United States,3,5,0,,0.0,0.1
USER-100047,TP-47-4,2025-01-20 18:00:00,Email,basket_recovery,Desktop,United States,4,5,0,,0.0,0.04
USER-100047,TP-47-5,2025-01-25 16:00:00,Paid Search,nonbrand_search,Desktop,United States,5,5,0,,0.0,1.77
USER-100048,TP-48-1,2025-03-04 15:00:00,Paid Social,lookalike_social,Mobile,United States,1,5,0,,0.0,1.16
USER-100048,TP-48-2,2025-03-07 08:00:00,Paid Social,prospecting_social,Mobile,United States,2,5,0,,0.0,1.14
USER-100048,TP-48-3,2025-03-13 20:00:00,Display,display_prospecting,Mobile,United States,3,5,0,,0.0,0.67
USER-100048,TP-48-4,2025-03-23 18:00:00,Email,loyalty_email,Mobile,United States,4,5,0,,0.0,0.05
USER-100048,TP-48-5,2025-03-24 16:00:00,Paid Social,lookalike_social,Mobile,United States,5,5,0,,0.0,1.0
USER-100049,TP-49-1,2025-02-25 17:00:00,Email,basket_recovery,Mobile,United Kingdom,1,1,0,,0.0,0.04
USER-100050,TP-50-1,2025-03-08 09:00:00,Paid Social,retargeting_social,Tablet,United States,1,1,0,,0.0,0.92
USER-100051,TP-51-1,2025-03-05 13:00:00,Paid Social,lookalike_social,Desktop,United States,1,1,1,ORD-200051,176.34,0.75
USER-100052,TP-52-1,2025-02-20 10:00:00,Display,display_retargeting,Tablet,United States,1,5,0,,0.0,0.74
USER-100052,TP-52-2,2025-02-25 08:00:00,Paid Search,brand_search,Tablet,United States,2,5,0,,0.0,1.34
USER-100052,TP-52-3,2025-03-02 08:00:00,Organic Search,seo_blog,Tablet,United States,3,5,0,,0.0,0.11
USER-100052,TP-52-4,2025-03-03 14:00:00,Organic Search,seo_category,Tablet,United States,4,5,0,,0.0,0.12
USER-100052,TP-52-5,2025-03-07 22:00:00,Affiliate,content_partner,Tablet,United States,5,5,0,,0.0,0.88
USER-100053,TP-53-1,2025-03-03 15:00:00,Email,newsletter,Desktop,France,1,1,0,,0.0,0.05
USER-100054,TP-54-1,2025-01-14 19:00:00,Paid Social,prospecting_social,Desktop,France,1,4,1,ORD-200054,118.75,1.13
USER-100054,TP-54-2,2025-01-22 12:00:00,Paid Social,prospecting_social,Desktop,France,2,4,1,ORD-200054,118.75,0.92
USER-100054,TP-54-3,2025-01-27 22:00:00,Organic Search,seo_category,Desktop,France,3,4,1,ORD-200054,118.75,0.09
USER-100054,TP-54-4,2025-01-29 12:00:00,Email,basket_recovery,Desktop,France,4,4,1,ORD-200054,118.75,0.04
USER-100055,TP-55-1,2025-02-02 09:00:00,Direct,direct_none,Mobile,Canada,1,2,0,,0.0,0.02
USER-100055,TP-55-2,2025-02-08 19:00:00,Paid Social,retargeting_social,Mobile,Canada,2,2,0,,0.0,0.84
USER-100056,TP-56-1,2025-01-23 18:00:00,Paid Search,shopping_ads,Desktop,France,1,2,1,ORD-200056,47.59,1.26
USER-100056,TP-56-2,2025-02-04 20:00:00,Paid Search,shopping_ads,Desktop,France,2,2,1,ORD-200056,47.59,1.2
USER-100057,TP-57-1,2025-03-22 08:00:00,Paid Search,nonbrand_search,Desktop,United States,1,2,0,,0.0,1.72
USER-100057,TP-57-2,2025-03-26 12:00:00,Paid Search,shopping_ads,Desktop,United States,2,2,0,,0.0,1.9
USER-100058,TP-58-1,2025-01-20 08:00:00,Organic Search,seo_product,Mobile,United States,1,3,0,,0.0,0.1
USER-100058,TP-58-2,2025-01-23 07:00:00,Display,display_prospecting,Mobile,United States,2,3,0,,0.0,0.63
USER-100058,TP-58-3,2025-01-27 11:00:00,Paid Search,brand_search,Mobile,United States,3,3,0,,0.0,1.62
USER-100059,TP-59-1,2025-02-24 19:00:00,Paid Search,shopping_ads,Mobile,United Kingdom,1,1,0,,0.0,1.64
USER-100060,TP-60-1,2025-01-19 21:00:00,Paid Social,retargeting_social,Desktop,France,1,1,0,,0.0,1.23
USER-100061,TP-61-1,2025-01-14 20:00:00,Paid Search,brand_search,Mobile,United Kingdom,1,1,0,,0.0,1.42
USER-100062,TP-62-1,2025-01-22 10:00:00,Organic Search,seo_blog,Mobile,Germany,1,4,0,,0.0,0.11
USER-100062,TP-62-2,2025-01-31 10:00:00,Paid Social,lookalike_social,Mobile,Germany,2,4,0,,0.0,1.24
USER-100062,TP-62-3,2025-02-04 14:00:00,Organic Search,seo_product,Mobile,Germany,3,4,0,,0.0,0.11
USER-100062,TP-62-4,2025-02-04 13:00:00,Organic Search,seo_blog,Mobile,Germany,4,4,0,,0.0,0.12
USER-100063,TP-63-1,2025-01-08 10:00:00,Direct,direct_none,Mobile,United States,1,3,0,,0.0,0.03
USER-100063,TP-63-2,2025-01-17 15:00:00,Paid Social,retargeting_social,Mobile,United States,2,3,0,,0.0,1.09
USER-100063,TP-63-3,2025-01-19 22:00:00,Organic Search,seo_product,Mobile,United States,3,3,0,,0.0,0.16
USER-100064,TP-64-1,2025-02-09 13:00:00,Direct,direct_none,Mobile,United Kingdom,1,2,0,,0.0,0.02
USER-100064,TP-64-2,2025-02-18 07:00:00,Affiliate,voucher_partner,Mobile,United Kingdom,2,2,0,,0.0,1.11
USER-100065,TP-65-1,2025-01-13 22:00:00,Affiliate,cashback_partner,Mobile,India,1,5,0,,0.0,1.4
USER-100065,TP-65-2,2025-01-20 07:00:00,Paid Search,shopping_ads,Mobile,India,2,5,0,,0.0,1.48
USER-100065,TP-65-3,2025-01-22 14:00:00,Organic Search,seo_blog,Mobile,India,3,5,0,,0.0,0.14
USER-100065,TP-65-4,2025-01-24 10:00:00,Organic Search,seo_blog,Mobile,India,4,5,0,,0.0,0.15
USER-100065,TP-65-5,2025-01-24 14:00:00,Direct,direct_none,Mobile,India,5,5,0,,0.0,0.03
USER-100066,TP-66-1,2025-02-19 10:00:00,Paid Social,lookalike_social,Mobile,United States,1,3,1,ORD-200066,63.01,1.26
USER-100066,TP-66-2,2025-02-23 17:00:00,Organic Search,seo_blog,Mobile,United States,2,3,1,ORD-200066,63.01,0.11
USER-100066,TP-66-3,2025-02-24 09:00:00,Email,basket_recovery,Mobile,United States,3,3,1,ORD-200066,63.01,0.04
USER-100067,TP-67-1,2025-03-08 13:00:00,Organic Search,seo_product,Mobile,United States,1,7,0,,0.0,0.14
USER-100067,TP-67-2,2025-03-11 19:00:00,Paid Search,brand_search,Mobile,United States,2,7,0,,0.0,1.47
USER-100067,TP-67-3,2025-03-13 22:00:00,Organic Search,seo_product,Mobile,United States,3,7,0,,0.0,0.1
USER-100067,TP-67-4,2025-03-16 18:00:00,Organic Search,seo_product,Mobile,United States,4,7,0,,0.0,0.15
USER-100067,TP-67-5,2025-03-19 13:00:00,Direct,direct_none,Mobile,United States,5,7,0,,0.0,0.02
USER-100067,TP-67-6,2025-03-21 10:00:00,Email,newsletter,Mobile,United States,6,7,0,,0.0,0.03
USER-100067,TP-67-7,2025-03-26 13:00:00,Email,loyalty_email,Mobile,United States,7,7,0,,0.0,0.03
USER-100068,TP-68-1,2025-01-23 20:00:00,Paid Social,retargeting_social,Mobile,Germany,1,4,0,,0.0,0.92
USER-100068,TP-68-2,2025-02-07 19:00:00,Organic Search,seo_category,Mobile,Germany,2,4,0,,0.0,0.16
USER-100068,TP-68-3,2025-02-10 21:00:00,Email,newsletter,Mobile,Germany,3,4,0,,0.0,0.04
USER-100068,TP-68-4,2025-02-11 18:00:00,Paid Social,prospecting_social,Mobile,Germany,4,4,0,,0.0,0.77
USER-100069,TP-69-1,2025-02-02 07:00:00,Paid Search,shopping_ads,Mobile,India,1,4,0,,0.0,1.53
USER-100069,TP-69-2,2025-02-05 10:00:00,Email,newsletter,Mobile,India,2,4,0,,0.0,0.05
USER-100069,TP-69-3,2025-02-08 21:00:00,Organic Search,seo_category,Mobile,India,3,4,0,,0.0,0.09
USER-100069,TP-69-4,2025-02-13 10:00:00,Paid Search,brand_search,Mobile,India,4,4,0,,0.0,1.8
USER-100070,TP-70-1,2025-01-23 11:00:00,Referral,community_referral,Tablet,India,1,4,0,,0.0,0.11
USER-100070,TP-70-2,2025-02-02 13:00:00,Affiliate,content_partner,Tablet,India,2,4,0,,0.0,1.36
USER-100070,TP-70-3,2025-02-05 16:00:00,Affiliate,cashback_partner,Tablet,India,3,4,0,,0.0,0.95
USER-100070,TP-70-4,2025-02-09 11:00:00,Email,basket_recovery,Tablet,India,4,4,0,,0.0,0.03
USER-100071,TP-71-1,2025-02-12 14:00:00,Paid Social,retargeting_social,Mobile,Canada,1,3,0,,0.0,1.23
USER-100071,TP-71-2,2025-02-21 19:00:00,Organic Search,seo_product,Mobile,Canada,2,3,0,,0.0,0.1
USER-100071,TP-71-3,2025-02-25 17:00:00,Paid Search,brand_search,Mobile,Canada,3,3,0,,0.0,1.57
USER-100072,TP-72-1,2025-03-23 07:00:00,Direct,direct_none,Mobile,Germany,1,4,0,,0.0,0.02
USER-100072,TP-72-2,2025-03-25 07:00:00,Organic Search,seo_category,Mobile,Germany,2,4,0,,0.0,0.1
USER-100072,TP-72-3,2025-03-27 17:00:00,Referral,blog_referral,Mobile,Germany,3,4,0,,0.0,0.09
USER-100072,TP-72-4,2025-04-01 08:00:00,Referral,partner_referral,Mobile,Germany,4,4,0,,0.0,0.1
USER-100073,TP-73-1,2025-02-11 09:00:00,Organic Search,seo_blog,Mobile,Germany,1,5,1,ORD-200073,72.35,0.15
USER-100073,TP-73-2,2025-02-12 08:00:00,Organic Search,seo_product,Mobile,Germany,2,5,1,ORD-200073,72.35,0.1
USER-100073,TP-73-3,2025-02-18 17:00:00,Organic Search,seo_blog,Mobile,Germany,3,5,1,ORD-200073,72.35,0.1
USER-100073,TP-73-4,2025-02-19 18:00:00,Display,display_prospecting,Mobile,Germany,4,5,1,ORD-200073,72.35,0.64
